code,date,prev,after,段_前,段_后,勾选,方向,翻面
000917,2018-04-14,3250.0,,"2,600 万元～ 3,900 万元",,,,
000918,2023-04-20,,,,,,,
000926,2018-03-17,,103138.0,,"90,064 万元—116,212 万元",扭亏为盈,,
000927,2020-03-31,-124000.0,-137500.0,-117000 万元至-131000 万元,125000 万元 — 150000 万元,,坏→更坏,0.0
000928,2018-03-10,55000.0,,"52,000 万元~58,000 万元",,,,
000931,2021-01-30,,,"3,000 万元至4,000 万元","3,000 万元至4,000 万元",同向上升,,
000931,2023-04-13,-6500.0,,"-6,000 万元至-7,000 万元",,,,
000936,2017-01-19,56201.16,,"54,056.08 万元—58,346.24 万元",,扭亏为盈,,
000952,2017-02-21,15000.0,,14500 万元至15500 万元,,,,
000961,2017-04-22,,,,,,,
000969,2022-01-12,,,,,同向上升,,
000971,2024-04-23,,,,,,,
000972,2021-03-17,14850.0,8995.0,"17,800 万元-11,900 万元","7,200 万元-10,790 万元",,坏→更坏,0.0
000976,2017-04-21,,,,,扭亏为盈,,
000979,2018-04-14,,,,,,,
000980,2020-06-19,-750000.0,,"600,000 万元-900,000 万元",,亏损,,
000981,2019-04-26,,,,,亏损,,
000981,2020-04-30,-540000.0,-695000.0,"485,000 万元—595,000 万元","670,000 万元–720,000 万元",,坏→更坏,0.0
000985,2017-01-17,,2550.0,,2400 万元–2700 万元,,,
000985,2019-01-12,-150.0,1050.0,900 万元--1200 万元,"9,00 万元—1,200 万元",,好→更好,1.0
000995,2023-04-29,,,,,,,
000996,2017-04-12,,1700.0,,1500 万元-1900 万元,,,
000998,2021-04-28,,,,,,,
001211,2026-04-24,1000.0,,"850 万元-1,150 万元",,,,
001298,2023-01-20,14819.84,,"14,429.69 万元至15,209.99 万元",,,,
002002,2022-04-02,,,,,,,
002003,2019-01-19,41924.285,30987.515,"36,455.90 万元-47,392.67 万元","29,164.72 万元–3,2810.31 万元",同向上升,坏→更坏,0.0
002005,2018-01-31,-12500.0,-85000.0,"-10,000 万元至-15,000 万元","-80,000 万元 — -90,000 万元",亏损,坏→更坏,0.0
002005,2019-01-30,2500.0,-45000.0,"0 万元至5,000 万元","-30,000 万元 — -60,000 万元",亏损,坏→更坏,1.0
002005,2020-04-15,10000.0,,"5,000 万元至15,000 万元",,亏损,,
002006,2018-01-31,4000.0,9250.0,"3,500 万元至4,500 万元","8,500 万元至10,000 万元",扭亏为盈,好→更好,0.0
002006,2019-01-31,,850.0,,"500 万元至1,200 万元",同向上升,,
002006,2020-01-17,,-11000.0,,"9,000 万元至13,000 万元",亏损,,
002008,2020-01-09,,67885.83,,"63,589.26万元～72,182.40万元",同向上升,,
002011,2019-01-28,7844.42,-210000.0,"6,460.11 万元至9,228.73 万元","-195,000 万元 ～ -225,000 万元",亏损,坏→更坏,1.0
002012,2017-01-24,-3000.0,482.505,"-4,000 万元至-2,000 万元",0 万元–965.01 万元,,好→更好,1.0
002016,2018-01-30,,91800.0,,"89,500 万元～94,100 万元",扭亏为盈,,
002018,2019-01-31,,-353000.0,,"364,000万元～342,000万元",同向上升,,
002021,2022-04-21,2500.0,,"2,000 万元至3,000 万元",,,,
002021,2023-02-11,560.0,,450 万元至670 万元,,,,
002021,2023-02-14,560.0,,450 万元至670 万元,,,,
002023,2019-01-29,3952.425,6873.785,3436.89万元-4467.96万元,6530.10 万元-7217.47 万元,扭亏为盈,好→更好,0.0
002023,2021-01-28,963.3399999999999,,771.07 万元至1155.61 万元,,同向下降,,
002024,2017-01-11,,71537.3,,"69,037.3 万元–74,037.3 万元",,,
002024,2018-01-13,,417171.3,,"412,171.30 万元–422,171.30 万元",扭亏为盈,,
002024,2019-01-09,,,,,扭亏为盈,,
002024,2023-04-15,-1050000.0,,"950,000 万元 — 1,150,000 万",,,,
002027,2018-01-11,,600000.0,,"595,000 万元–605,000 万元",,,
002036,2019-01-31,35462.25,29788.29,"31,206.78 万元至39,717.72 万元","25,532.82 万元至34,043.76 万元",,坏→更坏,0.0
002037,2019-01-31,,16500.0,,15000 万元–18000 万元,扭亏为盈,,
002038,2019-02-01,,61361.17,,"53,357.54 万元–69,364.80 万元",,,
002039,2019-01-29,28831.489999999998,36359.715,"24,026.24 万元至33,636.74 万元","35,238.49 万元—37,480.94 万元",同向上升,好→更好,0.0
002040,2017-01-25,2928.0,8000.0,"2,386 万元–3,470 万元","7,000 万元–9,000 万元",扭亏为盈,好→更好,0.0
002041,2018-01-31,,,,,同向下降,,
002044,2021-01-30,,,"1,000万元至3,000万","1,000 万元 — 3,000 万元",,,
002046,2017-01-10,-6000.0,,"-6,500 万元～-5,500 万元",,,,
002046,2018-01-31,314.5,1650.0,0 万元至629 万元,500 万元–2800 万元,同向上升,好→更好,0.0
002047,2019-01-31,42178.285,33926.015,"36,676.77 万元—47,679.80 万元","27,507.58 万元–40,344.45 万元",,坏→更坏,0.0
002051,2021-01-16,10469.75,10469.785,"0 万元至20,939.50 万元","0 万元–20,939.57 万元",亏损,好→更好,0.0
002055,2017-01-26,8092.455,4685.105,"6,814.70 万元~9,370.21 万元","3,407.35 万元–5,962.86 万元",同向上升,坏→更坏,0.0
002055,2019-01-29,16601.805,27960.925,"12,232.91 万元~20,970.70 万元","23,592.03 万元–32,329.82 万元",扭亏为盈,好→更好,0.0
002055,2021-01-30,,,,,,,
002057,2017-01-10,,3363.66,,2953.46 万元–3773.86 万元,,,
002058,2017-01-25,,500.0,,350万元-650万元,扭亏为盈,,
002058,2018-01-30,,275.0,,150万元-400万元,同向下降,,
002058,2019-01-29,,436.53999999999996,,366.13万元-506.95万元,扭亏为盈,,
