code,year,label,score,stage_date,stage
000553,2022,0.0,0.02824648806700841,2022-04-28,① 一季报披露
000554,2022,0.0,0.10965285941091658,2022-04-28,① 一季报披露
000555,2022,0.0,0.04900981292385728,2022-04-29,① 一季报披露
000557,2022,0.0,0.02540516125373281,2022-04-28,① 一季报披露
000558,2022,1.0,0.3640547582614721,2022-04-29,① 一季报披露
000559,2022,0.0,0.01561180508718031,2022-04-28,① 一季报披露
000560,2022,1.0,0.37722016536057856,2022-04-29,① 一季报披露
000561,2022,0.0,0.055087912879392915,2022-04-28,① 一季报披露
000563,2022,0.0,0.09551030528943784,2022-04-28,① 一季报披露
000564,2022,1.0,0.2749415258651115,2022-04-30,① 一季报披露
000565,2022,0.0,0.032475687750577305,2022-04-28,① 一季报披露
000566,2022,0.0,0.42392644261537216,2022-04-29,① 一季报披露
000567,2022,0.0,0.06039887474755066,2022-04-27,① 一季报披露
000568,2022,0.0,0.010640554900666293,2022-04-29,① 一季报披露
000570,2022,0.0,0.4487615372780265,2022-04-30,① 一季报披露
000571,2022,1.0,0.03235446537152047,2022-04-30,① 一季报披露
000572,2022,1.0,0.48447174163169643,2022-04-29,① 一季报披露
000573,2022,0.0,0.08128271713044967,2022-04-30,① 一季报披露
000576,2022,0.0,0.08392236764718737,2022-04-30,① 一季报披露
000581,2022,0.0,0.012367760330259455,2022-04-27,① 一季报披露
000582,2022,0.0,0.010580009388180225,2022-04-27,① 一季报披露
000586,2022,0.0,0.03364261823022209,2022-04-27,① 一季报披露
000589,2022,0.0,0.0751339853103203,2022-04-30,① 一季报披露
000590,2022,0.0,0.05580778394812204,2022-04-29,① 一季报披露
000591,2022,0.0,0.04277149137604803,2022-04-28,① 一季报披露
000592,2022,1.0,0.19338765577477057,2022-04-30,① 一季报披露
000593,2022,0.0,0.09025644602174655,2022-04-30,① 一季报披露
000595,2022,1.0,0.25438952370135015,2022-04-27,① 一季报披露
000596,2022,0.0,0.014975826055764266,2022-04-30,① 一季报披露
000597,2022,0.0,0.04970354933261525,2022-04-28,① 一季报披露
000598,2022,0.0,0.014440566246770346,2022-04-28,① 一季报披露
