date,code,from,to,kind,title,公告日,在名单,score,首次确认
2025-01-14 00:00:00,301187,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-14 00:00:00,False,0.022228,True
2025-01-14 00:00:00,301459,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,2025-01-14 00:00:00,False,0.002292,True
2025-01-14 00:00:00,600446,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-14 00:00:00,False,0.114131,True
2025-01-14 00:00:00,600589,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-14 00:00:00,False,0.213965,True
2025-01-14 00:00:00,603530,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-14 00:00:00,False,0.005442,True
2025-01-14 00:00:00,603918,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-14 00:00:00,False,0.539862,True
2025-01-14 00:00:00,603978,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,2025-01-14 00:00:00,True,0.724917,True
2025-01-14 00:00:00,605003,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-14 00:00:00,False,0.005349,True
2025-01-14 00:00:00,605222,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-14 00:00:00,False,0.061941,True
2025-01-14 00:00:00,688041,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-14 00:00:00,False,0.010497,True
2025-01-14 00:00:00,688596,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,2025-01-14 00:00:00,False,0.026981,True
2025-01-14 00:00:00,688662,预测中,已明说不会亏,预告,2024年度业绩预告（扭亏）,2025-01-14 00:00:00,False,0.025106,True
2025-01-15 00:00:00,000707,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-15 00:00:00,False,0.007505,True
2025-01-15 00:00:00,000791,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,2025-01-15 00:00:00,False,0.021459,True
2025-01-15 00:00:00,001206,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.010195,True
2025-01-15 00:00:00,002009,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-15 00:00:00,False,0.230432,True
2025-01-15 00:00:00,002053,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,2025-01-15 00:00:00,False,0.025745,True
2025-01-15 00:00:00,002215,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.009777,True
2025-01-15 00:00:00,002221,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.072398,True
2025-01-15 00:00:00,002515,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.029878,True
2025-01-15 00:00:00,002528,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-15 00:00:00,True,0.743591,True
2025-01-15 00:00:00,002556,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.097509,True
2025-01-15 00:00:00,002718,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-15 00:00:00,False,0.20423,True
2025-01-15 00:00:00,002942,预测中,已明说不会亏,预告,2024年度业绩预告（扭亏）,2025-01-15 00:00:00,False,0.123545,True
2025-01-15 00:00:00,002967,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.053407,True
2025-01-15 00:00:00,002970,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.015172,True
2025-01-15 00:00:00,003008,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,2025-01-15 00:00:00,False,0.006802,True
2025-01-15 00:00:00,003025,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.002659,True
2025-01-15 00:00:00,300054,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.025151,True
2025-01-15 00:00:00,300078,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-15 00:00:00,True,0.803847,True
2025-01-15 00:00:00,300147,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,2025-01-15 00:00:00,True,0.833521,True
2025-01-15 00:00:00,300204,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-15 00:00:00,True,0.738655,True
2025-01-15 00:00:00,300317,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-15 00:00:00,True,0.80186,True
2025-01-15 00:00:00,300446,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.008443,True
2025-01-15 00:00:00,300505,预测中,已明说不会亏,预告,2024年度业绩预告（扭亏）,2025-01-15 00:00:00,False,0.053905,True
2025-01-15 00:00:00,300533,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-15 00:00:00,False,0.533671,True
2025-01-15 00:00:00,300628,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,2025-01-15 00:00:00,False,0.002266,True
2025-01-15 00:00:00,300790,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-15 00:00:00,False,0.088213,True
2025-01-15 00:00:00,300836,预测中,已明说不会亏,预告,2024年度业绩预告（扭亏）,2025-01-15 00:00:00,False,0.155643,True
2025-01-15 00:00:00,300905,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,2025-01-15 00:00:00,False,0.032722,True
2025-01-15 00:00:00,301000,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,2025-01-15 00:00:00,False,0.004289,True
