code,date,grp,chars,锚点,类别,证据,title,非公司件,未实施件,粗类
000615,2023-04-29,③ 亏了也戴帽,2833,触及《,审计意见：无法表示 / 否定,计师事务所（特殊普通合伙）对公司2022年度财务报告出具了无法表示意见的审计报告，该事项触及《股票上市规则》第9.3.1条第（三）项规定的对股票实施退市风险警示的情形，公司股票,关于公司股票被实施退市风险警示及其他风险警示暨停牌的公告,False,False,财务类
000620,2023-04-29,③ 亏了也戴帽,2710,实施其他风险警示的原因,未归类,实施其他风险警示的原因根据中兴财光华会计师事务所（特殊普通合伙）出具的中兴财光华审会字（2021）第213153号、中兴财光华审会字（2022）第213121号,关于公司股票交易被实施退市风险警示及其他风险警示暨股票交易停牌的公告,False,False,未归类
000632,2026-04-29,③ 亏了也戴帽,2193,的主要原因,未归类,"的主要原因公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，具体如下：项目2025年2024年2023年归属于上市公司股东的净利润（元）-896,4",关于公司股票交易被实施其他风险警示暨停复牌的公告,False,False,未归类
000637,2023-04-29,③ 亏了也戴帽,2057,实施其他风险警示的原因,内控被否 / 重大缺陷,殊普通合伙）（以下简称“致同事务所”）出具否定意见的内部控制审计报告。本事项触及《深圳证券交易所股票上市规则》（2022年修订）（以下简称“《股票上市规则》”）第九章第八节第9,关于公司股票交易被实施其他风险警示暨股票停牌的公告,False,False,合规/治理类
000639,2026-04-29,③ 亏了也戴帽,1906,的主要原因,内控被否 / 重大缺陷,审计，财务报告内部控制被出具否定意见的《2025年度内部控制审计报告》。根据《深圳证券交易所股票上市规则》第9.8.1条第（四）款的规定，若最近一个会计年度财务报告内部控制被出,关于公司股票交易被实施其他风险警示、停牌暨可能被实施退市风险警示的公告,False,False,合规/治理类
000656,2024-04-23,③ 亏了也戴帽,1487,的主要原因,重整 / 破产,导性陈述或重大遗漏。事裁定书》，五中院裁定受理公司的重整申请。根据《深圳证券交易所股票上市规则》（以下简称“《上市规则》”）第9.4.1条的规定，“上市公司出现下列情形之一的，,关于公司股票被实施退市风险警示暨股票停牌的公告,False,False,重整/破产
000697,2023-03-22,③ 亏了也戴帽,2725,的主要原因,未归类,的主要原因22023年3月20日，信永中和会计师事务所（特殊普通合伙）出具了带持续经营重大不确定性段落的无保留意见的公司2022年度《审计报告》：“我们提醒财务,关于公司股票交易被实施退市风险警示叠加其他风险警示暨停复牌的公告,False,False,未归类
000698,2025-10-01,③ 亏了也戴帽,2757,实施其他风险警示的原因,信息披露违法 / 立案 / 处罚,份有限公司关于收到中国证券监督管理委员会辽宁监管局〈行政处罚事先告知书〉的公告》（公告编号：2025-037）。根据《事先告知书》载明的内容及《深圳证券交易所股票上市规则（20,沈阳化工股份有限公司关于公司股票将被实施其他风险警示暨停复牌的公告,False,False,合规/治理类
000736,2025-04-15,③ 亏了也戴帽,2274,实施退市风险警示的原因,财务类：收入或净资产指标,示的原因公司2024年末经审计的归属于上市公司股东的净资产为负值。2根据《深圳证券交易所股票上市规则》（2024年修订）第9.3.1条第一款的规定，上市公司出现“（二）近一个会,关于公司股票被实施退市风险警示暨停牌的公告,False,False,财务类
000793,2025-03-17,③ 亏了也戴帽,2014,的主要原因,信息披露违法 / 立案 / 处罚,原因2025年3月14日，公司收到海南证监局出具的《行政处罚事先告知书》（〔2025〕1号），详见公司于本公告同日在指定信息披露媒体上披露的《关于公司及相关人员收到中国证券监督,关于公司股票被实施其他风险警示暨停复牌的公告,False,False,合规/治理类
000826,2026-04-29,③ 亏了也戴帽,3152,的主要原因,财务类：收入或净资产指标,普通合伙）审计，公司2025年度经审计的归属于母公司净资产为负值。该财务指标已触及《股票上市规则》第9.3.1条之“（二）最近一个会计年度经审计的期末净资产为负值”规定的对股票,关于公司股票交易被实施退市风险警示及其他风险警示暨停牌的公告,False,False,财务类
000838,2026-04-24,③ 亏了也戴帽,2607,触及《,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于3亿元。（二）最近一个会计年度经审计的期末净资产为负值”的情形，将被实施退市风险警示。2、公司最近三个会计年度经,关于公司股票交易被实施退市风险警示、其他风险警示暨股票停复牌的公告,False,False,财务类
